codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;estado;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
1214102-18-LP25;MEDICAMENTOS FARMACIAS POPULARES;CORP MUNICIPAL DE DESARROLLO SOCIAL DE PUDAHUEL;70.835.200-4;Adquisiciones;los ediles N 717;Estación Central;Región Metropolitana de Santiago;LP;Publicada;La presente licitación pública contempla el suministro de medicamentos para la venta de los usuarios y vecinos de las farmacias populares de la comuna de Pudahuel. El objetivo de la contratación es mejorar el acceso de medicamentos a la comunidad logrando acceder a precio bajos comparados con otras cadenas de farmacias.;2025-04-09T21:58:46.497;2025-04-21T15:01:00;2025-06-20T16:38:00;113000000;CLP;0;0
4768-21-LQ25;Construcción 03 Viviendas Industrializadas TWH;I MUNICIPALIDAD DE LA ESTRELLA;69.091.400-K;D.A.F;Diego portales 619;La Estrella;Región del Libertador General Bernardo OHiggins;LQ;Publicada;Construcción 03 Viviendas Industrializadas TWH, en sitio residente, Subsidio Habitacional del Programa Habitabilidad Rural DS 10.;2025-04-09T18:34:29.703;2025-04-25T11:09:00;2025-05-06T11:10:00;3708;CLF;0;0
1426037-9-LE25;ADQUISICION DE UNIFORMES ESCOLARES CORP MUN COLINA;Corporación Municipal de Desarrollo Social de Colina;70.941.900-5;CORPCOLINA EDUCACION;Parque Brisas Norte con Trasversal Colina Lote N3;Colina;Región Metropolitana de Santiago;LE;Publicada;Con el propósito de garantizar una educación de calidad, la Corporación de Desarrollo Social de Colina, en su rol de sostenedor, requiere la adquisición de Vestuario Escolar. Esta inversión busca asegurar el bienestar y la identificación de pertenecía con los centros educativos, favoreciendo el adecuado desarrollo y cuidado de los niños en etapa escolar.;2025-04-09T19:14:33.527;2025-04-24T15:01:00;2025-05-14T15:01:00;;CLP;0;0
2591-65-LQ25;SS. DE TRANSPORTE Y DISPOSICION FINAL DE RSD;ILUSTRE MUNICIPALIDAD DE POZO ALMONTE;83.017.500-8;IMUNI_POZOALMONTE ADQUISICIONES;BALMACEDA 276;Pozo Almonte;Región de Tarapacá;LQ;Publicada;SOLICITADO POR DIMAO, CAROLINA CAYO, SEGUN SOLICITUD INTERNA N 331, CODIGO INTRANET N 3035, CERTIFICADO DE FACTIBILIDAD N 298, DECRETO DE PUBLICACION N346-2025;2025-04-09T18:48:55.75;2025-04-21T15:30:00;2025-04-30T17:42:00;224222201;CLP;0;0
2309-70-LE25;Reposición veredas Avda.Luis Cruz Martínez y otros;ILUSTRE MUNICIPALIDAD DE MOLINA;69.110.100-2;Secretaria Comunal de Planificacion;MAIPU 1846;Molina;Región del Maule;LE;Publicada;Reposición veredas avenida Luis Cruz Martínez, calle Yerbas Buenas, Libertad y otros, comuna de Molina;2025-04-09T18:27:00;2025-04-23T09:00:00;2025-04-30T12:15:00;58177560;CLP;0;0
188-22-LE25;MEJORAMIENTO CIERRE PERIMETRAL SAR LOS QUILLAYES.;CORP MUNICIPAL DE EDUC SALUD CULTURA Y RECREACION DE LA FLORIDA;70.933.700-9;Corporación Municipal de la Florida;Serafín Zamora N 6600, La Florida;La Florida;Región Metropolitana de Santiago;LE;Publicada;Las presentes obras se enfocan en mejorar la seguridad del SAR Los Quillayes, ubicado en calle Julio Cesar N11400, La Florida, específicamente por el sector de la calle Don Raúl, bajo el proyecto MEJORAMIENTO CIERRE PERIMETRAL POR CALLE DON RAÚL SAR LOS QUILLAYES, LA FLORIDA para ello, las obras se centran en la instalación de un Cierre Perimetral como complemento a los sistemas existentes, buscando elevar su altura y así contribuir a mejorar la seguridad en dicho sector. Lo anterior se llevará a cabo mediante la construcción e instalación de un sistema de módulos de acero, soportados por pilares, en los cuales se instalarán placas de Acero Microperforado. Además, se instalarán placas sobre la reja existente para proteger el box de atención ubicado en el sector a intervenir;2025-04-09T18:24:14.96;2025-04-21T15:01:00;2025-06-22T17:00:00;;CLP;0;0
1075963-147-LE25;CONVENIO DE SUMINISTRO: FILTROS PARA MANTENIMIENTO PREVENTIVO VIN Y UMA HJNC;SERVICIO DE SALUD ARICA HOSP DR JUAN NOE CREVANI;61.606.001-5;Hospital Juan Noé;18 DE SEPTIEMBRE #1000, ARICA.;Santiago;Región de Arica y Parinacota;LE;Publicada;CONVENIO DE SUMINISTRO: FILTROS PARA MANTENIMIENTO PREVENTIVO VIN Y UMA, HJNC;2025-04-09T18:25:52.403;2025-04-21T17:32:00;2025-04-22T17:33:00;64000000;CLP;0;0
4447-7-LQ25;Servicios profesionales de apoyo para actividades;SERVICIO NACIONAL DEL PATRIMONIO CULTURAL;60.905.000-4;SUBDIRECCIÓN BIBLIOTECA NACIONAL;Alameda N 651;Santiago Centro;Región Metropolitana de Santiago;LQ;Publicada;Servicios profesionales de apoyo para actividades de Extensión y Biblioteca Nacional Digital, según lo requerido en bases técnicas.;2025-04-09T17:56:11.073;2025-04-29T16:00:00;2025-05-24T19:18:00;145000000;CLP;0;0
3453-22-LE25;ADQUISICION GORRAS DE PARADA MASCULINAS Y FEMENINA;DIRECCION DE LOGISTICA DE CARABINEROS;61.979.960-7;Escuela de Formación Policial de Carabineros;AVDA PEDRO AGUIRRE CERDA N6655;Cerrillos;Región Metropolitana de Santiago;LE;Publicada;ADQUISICIÓN DE GORRAS DE PARADA MASCULINAS Y FEMENINAS PARA LOS CARABINEROS ALUMNOS DE LA ESCUELA DE FORMACIÓN DE CARABINEROS.;2025-04-09T18:18:41.463;2025-04-21T15:01:00;2025-05-14T20:00:00;;CLP;0;0
1057389-49-LP25;INTERVENCIONES QUIRURGICAS DE PROTESIS DE RODILLA;SERVICIO SALUD ARAUCANIA NORTE HOSPITAL VICTORIA;61.602.229-6;Bienes y Servicios;Avda Dartnell N1100;Victoria;Región de la Araucanía;LP;Publicada;El Hospital San José de Victoria requiere contratar equipo quirúrgico, para la Resolución quirúrgica de patologías asociadas a rodillas, las cuales serán proporcionados a través de la Unidad de Gestión de Demanda.;2025-04-09T17:55:27.527;2025-04-29T18:00:00;2025-08-29T18:00:00;;CLP;0;0
